id,title,area,section,read_only,risk,administrator,catalog_status,entry,route_line,route,implementation,tests_mentioning_id,runtime_status,individual_command_executed_by_audit,evidence_class
network-experiment,Run a network experiment,System care,Network & updates,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,341,"await NetworkExperimentAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:318,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
injection-surfaces,Process injection exposure,Security,Status,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,181,"ProcessInjectionSurface(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:314,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
process-modules,Loaded process modules,All tools,Commands,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,182,"ProcessModules(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:335,tests/WinCare.Infrastructure.Tests/CommandSafetyTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
remote-thread-events,Remote thread events,Security,Status,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,183,"await EventLogQueryAsync(""remote-thread-events"", ""Security"", p.Int32(""MaxEvents"", 100, 1, 1000), cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:378,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
etw-sessions,Event tracing sessions,All tools,Commands,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,184,"await NativeToolQueryAsync(""etw-sessions"", ""logman.exe"", [""query"", ""-ets""], cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:356,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
etw-capture,Capture an event trace,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,342,"await EtwCaptureAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:338,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
injection-surface-quarantine,Quarantine an injection surface,Security,Hardening,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,343,"await InjectionSurfaceQuarantineAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:386,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-search,Search Windows updates,System care,Network & updates,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,185,"await WindowsUpdateSearchAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:13,tests/WinCare.Application.Tests/ToolCatalogServiceTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-history,Windows Update history,System care,Network & updates,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,186,"await WindowsUpdateHistoryAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:45,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-hide,Hide Windows updates,System care,Network & updates,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,344,"await WindowsUpdateSetHiddenAsync(p, hidden: true, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:74,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-unhide,Show hidden Windows updates,System care,Network & updates,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,345,"await WindowsUpdateSetHiddenAsync(p, hidden: false, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:74,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-download,Download Windows updates,System care,Network & updates,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,346,"await WindowsUpdateDownloadAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:114,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-install,Install Windows updates,System care,Network & updates,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,347,"await WindowsUpdateInstallAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:130,tests/WinCare.CommandCatalog.Tests/CommandCatalogTests.cs; tests/native/test_full_native_migration.py,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wua-uninstall,Remove Windows updates,System care,Network & updates,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,348,"await WindowsUpdateUninstallAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:153,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wdac-policies,Application control policies,Security,Status,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,187,"await WdacPoliciesAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:223,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wdac-events,Application control events,Security,Status,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,188,"await EventLogQueryAsync(""wdac-events"", ""Microsoft-Windows-CodeIntegrity/Operational"", p.Int32(""MaxEvents"", 100, 1, 1000), cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:378,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wdac-deploy,Deploy an application control policy,Security,Hardening,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,349,"await WdacDeployAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:238,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
internals-processes,Process details,All tools,Commands,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,189,"InternalsProcesses(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:416,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
internals-memory,Memory details,All tools,Commands,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,190,"InternalsMemory(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:437,,isolated backend read-only probe succeeded; returned shape/timing in evidence/backend-probes.json; not full UI feature certification,yes,individual read-only backend probe
internals-cpu,Processor details,All tools,Commands,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,191,"InternalsCpu(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:453,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
credential-providers,Sign-in providers,Security,Status,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,192,"CredentialProviders(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:465,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
appcontainer,Application isolation status,Security,Status,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,193,"AppContainerState(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:480,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
desktop-controls,Desktop controls,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,194,"DesktopControls(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:497,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
wifi-profiles,Wi-Fi profiles,System care,Network & updates,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,195,"await NativeToolQueryAsync(""wifi-profiles"", ""netsh.exe"", [""wlan"", ""show"", ""profiles""], cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:356,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
shell-extensions,Shell extensions,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,196,"ShellExtensions(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:508,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
desktop-shortcuts,Desktop shortcuts,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,197,"DesktopShortcuts(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:521,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
boot,Boot,Repair & recovery,Repair,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,198,"await NativeToolQueryAsync(""boot"", ""bcdedit.exe"", [""/enum"", ""all""], cancellationToken, administratorOptional: true).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:356,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
bcd-export,Export boot configuration,Repair & recovery,Backup,False,High,Required,Implemented,All Tools / ExecuteSelectedToolCommand,350,"await BcdExportAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:406,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
unattend-analyze,Inspect an unattended setup file,Repair & recovery,Repair,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,199,"UnattendAnalyze(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:532,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
provisioning-plan,Review a provisioning blueprint,Repair & recovery,Repair,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,351,"await ProvisioningPlanAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:415,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
knowledge,Knowledge,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,200,"Knowledge(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:543,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
reports,Reports and receipts,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,201,"await SystemReportAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:568,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
automation-profiles,Automation profiles,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,202,"await ReadStateAsync(""automation-profiles"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
run-automation,Run an automation profile,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,352,"await RunAutomationAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Remediation.cs:207,tests/WinCare.Infrastructure.Tests/CommandSafetyTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
cancel-operation,Cancel a running operation,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,353,"CancelOperation(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Remediation.cs:252,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
widgets,Widgets,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,203,"await WidgetSnapshotAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:28,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
widget-catalog,Widget catalog,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,204,"WidgetCatalog(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:40,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
widget-export,Export widget information,All tools,Commands,False,Low,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,354,"await ExportStateAsync(""widgets"", p, ""wincare-widgets.json"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:124,,shared export helper failure reproduced in harmless Windows fixture; individual command not executed (F-008),no,shared-helper runtime proof plus caller source trace; NOT individual-command runtime failure
bluetooth,Bluetooth,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,205,"BluetoothDevices(p, cancellationToken),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:49,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
bluetooth-events,Bluetooth events,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,206,"await EventLogQueryAsync(""bluetooth-events"", ""System"", p.Int32(""MaxEvents"", 100, 1, 1000), cancellationToken, ""BTH"").ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:378,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
maintenance,Maintenance,System care,Routines,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,207,"await ReadStateAsync(""maintenance-windows"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
maintenance-create,Create a maintenance window,System care,Routines,False,Moderate,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,355,"await MaintenanceCreateAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:149,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
maintenance-transition,Change maintenance window status,System care,Routines,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,356,"await MaintenanceTransitionAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:173,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
maintenance-metrics,Maintenance metrics,System care,Routines,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,208,"await MaintenanceMetricsAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:187,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
maintenance-export,Export maintenance results,System care,Routines,False,Low,Required,Implemented,All Tools / ExecuteSelectedToolCommand,357,"await ExportStateAsync(""maintenance-windows"", p, ""wincare-maintenance.json"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.State.cs:124,,shared export helper failure reproduced in harmless Windows fixture; individual command not executed (F-008),no,shared-helper runtime proof plus caller source trace; NOT individual-command runtime failure
context-menu,Context menu,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,209,"ContextMenuEntries(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:68,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
context-menu-set,Change context menu,System care,Performance,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,358,"ContextMenuSet(p),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:89,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
customization-hosts,Customization hosts,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,210,"CustomizationHosts(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:116,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
rainmeter-skins,Rainmeter skins,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,211,"RainmeterSkins(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:123,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
windhawk-mods,Windhawk mods,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,212,"WindhawkMods(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:130,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
explorerpatcher,ExplorerPatcher,System care,Performance,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,213,"ExplorerPatcherState(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:137,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
modern-context-validate,Validate modern context,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,214,"ModernContextValidation(),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Productivity.cs:144,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
playbooks,Playbooks,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,215,"await ReadStateAsync(""playbooks"", cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:582,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
playbook,Playbook,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,359,"await RunPlaybookAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Remediation.cs:214,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
group-policy,Group policy,All tools,Commands,True,ReadOnly,No,Implemented,All Tools / ExecuteSelectedToolCommand,216,"await NativeToolQueryAsync(""group-policy"", ""gpresult.exe"", [""/Scope"", ""Computer"", ""/R""], cancellationToken, administratorOptional: true).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.System.cs:356,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
group-policy-import,Import Group Policy settings,All tools,Commands,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,360,"await GroupPolicyImportAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:428,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
sysmon,Sysmon,Security,Status,True,ReadOnly,MayBeRequired,Implemented,All Tools / ExecuteSelectedToolCommand,217,"await SysmonStateAsync(cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:439,,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
sysmon-configure,Configure Sysmon,Security,Hardening,False,Moderate,Required,Implemented,All Tools / ExecuteSelectedToolCommand,361,"await SysmonConfigureAsync(p, cancellationToken).ConfigureAwait(false),",src/WinCare.Infrastructure/Commands/WindowsCommandExecutor.Security.cs:446,tests/WinCare.Infrastructure.Tests/CommandSafetyTests.cs,unverified; a route/test mention is not behavior verification,no,source inventory only; not runtime verified
